Global Oil and Gas Extraction Tracker - March 2026,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © Global Energy Monitor. Global Oil and Gas Extraction Tracker, 2026 release. Distributed under a Creative Commons Attribution 4.0 International License.",,,,,,,,,,,,,,,,,,,,,,,
"Contact: Scott Zimmerman, Global Oil and Gas Extraction Tracker Project Manager, Global Energy Monitor - scott.zimmerman@globalenergymonitor.org",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
,"1. For background, additional information, and references, see wiki pages for the individual units",,,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Status detail,"Additional information on the status, see methodology for details.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Status year,The year of the source of the status information.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Discovery year,"Year in which the project was discovered. If the project is made up of multiple fields, the earliest discovery year is listed here.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,FID Year,"Year in which the project reach final investment decision. If the project is made up of multiple fields, the earliest FID year is listed here.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Production start year,"Year in which the project started commercial production.If the project is made up of multiple fields, the earliest FID year is listed here.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Operator,The company that is the designated operator of the project.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Owner(s),The company (or companies) that own the project. Often multiple companies will collaborate to fund a project.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Parent(s),The company (or companies) that own the owner companies listed.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Government unit ID,The ID assigned by some governments to the asset.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Units (list of IDs),Project IDs of all field-level projects that make up the project.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Wiki URL (project),"URL for the GEM.wiki page for an associated project, if relevant.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Name Other,Alternate names for a project-level project.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Latitude,"Location of the project. Since each project spans some area (often many miles), the coordinates provided are approximately the middle of the project.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Longitude,"Location of the project. Since each project spans some area (often many miles), the coordinates provided are approximately the middle of the project.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Location accuracy,"Locations are designated as ""exact"" if there is information about where exactly the project is (e.g., coordinates explicitly stated, or project shown on a map). If only general information  is available (e.g., which state or county the project is in), an ""approximate"" designation is used.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Project location type,"If the location of the project is calculated from the location of the field-level projects which make it up, it is tagged as ""location derived from fields"". If data for the location is at the project level, this is tagged as ""project level location"".",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Onshore/Offshore,Tag stating if a field predominantly located on or offshore.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Project outline (WKT),Field-level projects outline in well-known-text format. ,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Basin,"Each field-level project is within a particular basin (short for sedimentary basin), when available, shown here. ",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Block,"Each project is generally within a single concession or block, which is an area that the government licenses for exploration, when available, shown here. ",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Project ID,Unique project ID number.,,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Project Name,Name of the unit as it is reported by sources.,,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Country/Area,"The country/area that the unit is in. If a unit spans country borders, both countries are listed in the Unit name.",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Fuel description,"Specifies the type of fuel(s), e.g., ""gas,"" ""oil,"" ""gas and condensates,"" ""total hydrocarbons,"" and other possibilities that may be specified by the source documents.",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Reserves classification,"For reserves only, a description of the classification of reserves, e.g., 1P reserves, 2P reserves, proved reserves, EUR, or other possibilities (as specified by the source documents)",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Quantity (original),"The quantity of fuel, as specified by the source documents.",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Units (original),"The units of measurement, as specified by the source documents.",,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Quantity (converted),The quantity after the conversion of data into a common set of units.,,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Units (converted),The common set of units.,,,,,,,,,,,,,,,,,,,,
,Project-level reserves data,Data source type,"If the reserves of the project is calculated from the the field-level projects which make it up, it is tagged as ""reserves summed from fields"". If data for the location is at the project level, this is tagged as ""project level reserves"" - if both data types are available, only the project level data is shown here.",,,,,,,,,,,,,,,,,,,,
,Project-level production data,Project ID,Unique project ID number.,,,,,,,,,,,,,,,,,,,,
,Project-level production data,Project Name,Name of the unit as it is reported by sources.,,,,,,,,,,,,,,,,,,,,
,Project-level production data,Country/Area,"The country/area that the unit is in. If a unit spans country borders, both countries are listed in the Unit name.",,,,,,,,,,,,,,,,,,,,
,Project-level production data,Fuel description,"Specifies the type of fuel(s), e.g., ""gas,"" ""oil,"" ""gas and condensates,"" ""total hydrocarbons,"" and other possibilities that may be specified by the source documents.",,,,,,,,,,,,,,,,,,,,
,Project-level production data,Quantity (converted),The quantity after the conversion of data into a common set of units.,,,,,,,,,,,,,,,,,,,,
,Project-level production data,Units (converted),The common set of units.,,,,,,,,,,,,,,,,,,,,
,Project-level production data,Data source type,"If the production of the project is calculated from the the field-level projects which make it up, it is tagged as ""production summed from fields"". If data for the location is at the project level, this is tagged as ""project level production"" - if both data types are available, only the project level data is shown here.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Status definitions,,,,,,,,,,,,,,,,,,,,,,,
,Discovered,"A unit is typically considered to be discovered when there has been a well drilled into a particular formation, and it yielded some significant quantity of oil and/or gas. Discovered units are not necessarily economic to exploit.",,,,,,,,,,,,,,,,,,,,,
,In-development,"Following discovery, the process of moving toward commercial production has begun. This means that a company is planning to develop the project, as evidenced by one or more of the following criteria being reached: the company has applied for approval for commercial production (if needed in the jurisdiction), the project has reached the Final Investment Decision (FID), a final environmental impact statement has been published, and/or the drilling of development (not appraisal) wells and/or adding takeaway capacity (infrastructure such as pipelines, storage tanks, etc.) to enable commercial production has begun.",,,,,,,,,,,,,,,,,,,,,
,Operating,"The unit has commercial production of oil/gas (that is, quantities that are being sold to market).",,,,,,,,,,,,,,,,,,,,,
,Abandoned,"Operations have ceased, but the wells/unit were not decommissioned following all the usual steps, such as plugging the wells (including filling the well with cement).",,,,,,,,,,,,,,,,,,,,,
,Mothballed,Operations temporarily shut down; may be restarted.,,,,,,,,,,,,,,,,,,,,,
,Decommissioning,Operations permanently ceased; infrastructure is typically removed.,,,,,,,,,,,,,,,,,,,,,
,UGS,Exhausted units may be converted from producing to serving as underground gas storage (UGS) facilities; these are labeled as “UGS.”,,,,,,,,,,,,,,,,,,,,,
,Exploration,An unproven concessionary block or region that potentially contains an undiscovered field is actively being explored for reserves.,,,,,,,,,,,,,,,,,,,,,
,Cancelled,A discovered or in-development field that did not reach commercial production. This is evidenced by a formal acknowledgment by a company involved that a project is not going forward. ,,,,,,,,,,,,,,,,,,,,,
,Underground gas storage,Exhausted fields may be converted from producing to serving as underground gas storage (UGS) facilities; these are labeled as “UGS” or “UGS (converted).”,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
